pokedex_number	Name	type1	type2	abilities	hp	attack	defense	sp_attack	sp_defense	speed	Red	Blue	Blue (Japan)	Yellow	Gold	Silver	Crystal	Ruby	Sapphire	Emerald	FireRed	LeafGreen	Colosseum	XD	Diamond	Pearl	Platinum	HeartGold	SoulSilver	Pal Park	Black	White	Black 2	White 2	X	Y	Omega Ruby	Alpha Sapphire	Sun	Moon	Ultra Sun	Ultra Moon	Let's Go Pikachu	Let's Go Eevee	Sword	Shield	Expansion Pass	Brilliant Diamond	Shining Pearl	Legends: Arceus	Scarlet	Violet
#0302	Sableye	dark	ghost	['Keen Eye', 'Stall', 'Prankster']	50	75	75	65	65	50								 Trade, Event	 Granite Cave, Cave of Origin, Sky Pillar, Victory Road	 Granite Cave, Cave of Origin, Sky Pillar, Victory Road	Trade, Event	Trade, Event	 Trade	 Citadark Isle (Shadow)	Iron Island (Sapphire)	Iron Island (Sapphire)	 Iron Island (Sapphire)	 Route 9 (Swarm)	 Trade	 Mountain	Challenger's Cave	Challenger's Cave	Trade with Curtis in Nimbasa City (female player character only)	Trade with Curtis in Nimbasa City (female player character only)	Reflection Cave, Friend Safari (Dark)	Reflection Cave, Friend Safari (Dark)	 Trade, Event	 Granite Cave, Cave of Origin, Victory Road, Sky Pillar	Ten Carat Hill, Vast Poni Canyon (SOS Battle)	Ten Carat Hill, Vast Poni Canyon (SOS Battle)	Ten Carat Hill, Vast Poni Canyon (SOS Battle)	Ten Carat Hill, Vast Poni Canyon (SOS Battle)	Unobtainable	Unobtainable	 Trade, Event	 Dusty Bowl, Giant's MirrorGiant's Mirror, South Lake Miloch, Stony Wilderness, Watchtower Ruins, West Lake Axewell (Max Raid Battle)		 Trade	 Grand Underground - Dazzling Cave, Stargleam Cavern (After obtaining the National Pokédex)	 Unobtainable	South Province: Area Six, Alfornada CavernEast Province: Area ThreeWest Province: Area One, Area TwoNorth Province: Area One, Dalizapa PassageArea ZeroTera Raid Battles (3★, 5★)	South Province: Area Six, Alfornada CavernEast Province: Area ThreeWest Province: Area One, Area TwoNorth Province: Area One, Dalizapa PassageArea ZeroTera Raid Battles (3★, 5★)
#0303	Mawile	steel	fairy	['Hyper Cutter', 'Intimidate', 'Sheer Force']	50	85	85	55	55	50								 Granite Cave, Cave of Origin, Victory Road, Sky Pillar	 Trade, Event	 Victory Road	Trade, Event	Trade, Event	 Trade	 ONBS (Shadow)	Iron Island (Ruby)	Iron Island (Ruby)	 Iron Island (Ruby)	 Trade	 Route 9 (Swarm)	 Mountain	Challenger's Cave	Challenger's Cave	Trade with Yancy in Nimbasa City (male player character only)	Trade with Yancy in Nimbasa City (male player character only)	Glittering Cave, Friend Safari (Steel and Fairy)	Glittering Cave, Friend Safari (Steel and Fairy)	 Granite Cave, Cave of Origin, Victory Road, Sky Pillar	 Trade, Event	Trade	Trade	Ten Carat Hill	Ten Carat Hill	Unobtainable	Unobtainable	 Dusty Bowl, Bridge FieldBridge Field, Giant's Seat, Hammerlocke Hills, Lake of Outrage, Rolling Fields, Stony Wilderness (Max Raid Battle)	 Trade		 Grand Underground - Dazzling Cave, Stargleam Cavern (After obtaining the National Pokédex)	 Trade	 Unobtainable	Unobtainable	Unobtainable
#0304	Aron	steel	rock	['Sturdy', 'Rock Head', 'Heavy Metal']	50	70	100	40	40	30								Granite Cave, Victory Road	Granite Cave, Victory Road	 Granite Cave, Victory Road	Trade	Trade	 Trade	 Cave Poké Spot	 Fuego Ironworks (Poké Radar)	 Trade	 Fuego Ironworks (Poké Radar)	Safari Zone (tall grass in Rocky Beach with 24 Peak points)	Safari Zone (tall grass in Rocky Beach with 24 Peak points)	 Mountain	 Trade	 White Forest	Mistralton Cave	Mistralton Cave	 Terminus Cave (Horde Encounter)	 Trade	Granite CaveVictory Road (Horde Encounter)	Granite CaveVictory Road (Horde Encounter)	Trade	Trade	Breed Aggron	Breed Aggron	Unobtainable	Unobtainable	TradeVersion 1.3.0+	TradeVersion 1.3.0+	 Lakeside CaveBallimere Lake (Wanderer)Slippery Slope (Max Raid Battle)	 Fuego Ironworks (Poké Radar)Grand Underground - Rocky Cave, Big Bluff Cavern, Whiteout Cave, Icy Cave, Glacial Cavern (After obtaining the National Pokédex)	 Grand Underground - Rocky Cave, Big Bluff Cavern, Whiteout Cave, Icy Cave, Glacial Cavern (After obtaining the National Pokédex)	 Unobtainable	Unobtainable	Unobtainable
#0305	Lairon	steel	rock	['Sturdy', 'Rock Head', 'Heavy Metal']	60	90	140	50	50	40								Victory Road	Victory Road	 Victory Road	Trade	Trade	 Trade	 Evolve Aron	 Evolve Aron	 Trade	 Evolve Aron	Safari Zone (Peak with 24 Peak points)	Safari Zone (Peak with 24 Peak points)	 Mountain	 Trade	 Evolve Aron	Clay Tunnel, Underground Ruins	Clay Tunnel, Underground Ruins	 Route 18, Terminus Cave	 Trade	Victory Road	Victory Road	Trade	Trade	Evolve Aron	Evolve Aron	Unobtainable	Unobtainable	TradeVersion 1.3.0+	TradeVersion 1.3.0+	 Lakeside Cave (Wanderer)Max Lair (Dynamax Adventure)Slippery Slope (Max Raid Battle)	Grand Underground - Rocky Cave, Big Bluff Cavern, Whiteout Cave, Icy Cave, Glacial Cavern (After obtaining the National Pokédex)	Grand Underground - Rocky Cave, Big Bluff Cavern, Whiteout Cave, Icy Cave, Glacial Cavern (After obtaining the National Pokédex)	 Unobtainable	Unobtainable	Unobtainable
#0306	Aggron	steel	rock	['Sturdy', 'Rock Head', 'Heavy Metal']	70	110	180	60	60	50								Evolve Lairon	Evolve Lairon	 Evolve Lairon	Trade	Trade	 Trade	 Evolve Lairon	 Evolve Lairon	 Trade	 Evolve Lairon	Evolve Lairon	Evolve Lairon	 Mountain	 Trade	 Evolve Lairon	Evolve Lairon	Evolve Lairon	 Evolve Lairon	 Trade, Event	Evolve Lairon	Evolve Lairon	Trade	Trade	Poni Plains (Island Scan)Mo	Poni Plains (Island Scan)Mo	Unobtainable	Unobtainable	TradeVersion 1.3.0+	TradeVersion 1.3.0+	 Lakeside Cave (Wanderer)Slippery Slope (Max Raid Battle)	Evolve Lairon	Evolve Lairon	 Unobtainable	Unobtainable	Unobtainable
#0307	Meditite	fighting	psychic	['Pure Power', 'Telepathy']	30	40	55	40	55	60								Mt. Pyre, Victory Road	Mt. Pyre, Victory Road	 Trade, Event	Trade, Event	Trade, Event	 Pyrite Cave (Shadow)	 Trade Trapinch to Duking in Pyrite Town	Routes 208, 210, 211, 216, and 217, Acuity Lakefront, Mt. Coronet	Routes 208, 210, 211, 216, and 217, Acuity Lakefront, Mt. Coronet	 Routes 210, 211, 216, Mt. Coronet	Safari Zone (Mountain with 20 Forest points)Sprout Tower, Bell Tower, Burned Tower (Sinnoh Sound)	Safari Zone (Mountain with 20 Forest points)Sprout Tower, Bell Tower, Burned Tower (Sinnoh Sound)	 Mountain	Trade	Trade	Breed Medicham	Breed Medicham	Connecting Cave, Friend Safari (Fighting)	Connecting Cave, Friend Safari (Fighting)	Mt. Pyre	Mt. Pyre	Trade	Trade	Breed Medicham	Breed Medicham	Unobtainable	Unobtainable	Unobtainable	Unobtainable		Routes 208, 210, 211, 216, and 217, Acuity Lakefront, Mount CoronetGrand Underground - Dazzling Cave, Stargleam Cavern, Whiteout Cave (After defeating Candice)	Routes 208, 210, 211, 216, and 217, Acuity Lakefront, Mount CoronetGrand Underground - Dazzling Cave, Stargleam Cavern, Whiteout Cave (After defeating Candice)	 Unobtainable	South Province: Area Four, Area Six, Alfornada CavernWest Province: Area TwoArea ZeroTera Raid Battles (2★)	South Province: Area Four, Area Six, Alfornada CavernWest Province: Area TwoArea ZeroTera Raid Battles (2★)
#0308	Medicham	fighting	psychic	['Pure Power', 'Telepathy']	60	60	75	60	75	80								Victory Road	Victory Road	 Trade	Trade	Trade	 Evolve Meditite	 Evolve Meditite	Route 217, Acuity Lakefront, Mt. Coronet, Victory Road	Route 217, Acuity Lakefront, Mt. Coronet, Victory Road	 Mt. Coronet	Safari Zone (Wasteland with 35 Forest points)	Safari Zone (Wasteland with 35 Forest points)	 Mountain	Trade	Trade	Pinwheel Forest (Hidden Grotto)*	Pinwheel Forest (Hidden Grotto)*	Evolve Meditite	Evolve Meditite	Victory Road	Victory Road	Trade	Trade	Ultra Space Wilds (Cave World)	Ultra Space Wilds (Cave World)	Unobtainable	Unobtainable	Unobtainable	Unobtainable		Route 217, Acuity Lakefront, Mount Coronet, Victory Road	Route 217, Acuity Lakefront, Mount Coronet, Victory Road	 Unobtainable	South Province: Area Six, Alfornada CavernArea ZeroTera Raid Battles (4★)	South Province: Area Six, Alfornada CavernArea ZeroTera Raid Battles (4★)
#0309	Electrike	electric		['Static', 'Lightning Rod', 'Minus']	40	45	40	65	40	65								Routes 110 and 118	Routes 110 and 118	 Routes 110 and 118	Trade	Trade	 Trade	 Trade	Valley Windworks (Swarm)	Valley Windworks (Swarm)	 Valley Windworks (Swarm)	Safari ZoneSafari Zone (tall grass in Rocky Beach with 10 Plains points)	Safari ZoneSafari Zone (tall grass in Rocky Beach with 10 Plains points)	 Field	Trade	Trade	Breed Manectric	Breed Manectric	 Trade	 Route 10	Route 110, Route 118	Route 110, Route 118	Trade	Trade	 Trade	 Poké Pelago*	Unobtainable	Unobtainable	Route 4, Rolling Fields, Dappled Grove, West Lake Axewell, East Lake Axewell, Watchtower Ruins, South Lake Miloch, Giant's Seat, Giant's Mirror, Dusty BowlGiant's Cap, Hammerlocke Hills, Motostoke Riverbank (Max Raid Battle)	Route 4, Rolling Fields, Dappled Grove, West Lake Axewell, East Lake Axewell, Watchtower Ruins, South Lake Miloch, Giant's Seat, Giant's Mirror, Dusty BowlGiant's Cap, Hammerlocke Hills, Motostoke Riverbank (Max Raid Battle)		Valley Windworks (Swarm)	Valley Windworks (Swarm)	 Unobtainable	Unobtainable	Unobtainable
#0310	Manectric	electric		['Static', 'Lightning Rod', 'Minus']	70	75	60	105	60	105								Route 118	Route 118	 Route 118	Trade	Trade	 Trade	 Citadark Isle (Shadow)	Evolve Electrike	Evolve Electrike	 Evolve Electrike	Safari Zone (Plains with 15 Plains points; tall grass in Rocky Beach with 10 Forest points; Wasteland with 3 Plains points)	Safari Zone (Plains with 15 Plains points; tall grass in Rocky Beach with 10 Forest points; Wasteland with 3 Plains points)	 Field	Evolve Dream World Electrike	Evolve Dream World Electrike	Route 3 (Hidden Grotto)*	Route 3 (Hidden Grotto)*	Friend Safari (Electric)	Friend Safari (Electric)	Evolve Electrike	Evolve Electrike	Trade	Trade	 Trade	 Route 12	Unobtainable	Unobtainable	Axew's Eye, Giant's Seat, Giant's Cap, Rolling FieldsGiant's Cap, Motostoke Riverbank (Max Raid Battle)	Axew's Eye, Giant's Seat, Giant's Cap, Rolling FieldsGiant's Cap, Motostoke Riverbank (Max Raid Battle)	 Max Lair (Dynamax Adventure)	Evolve Electrike	Evolve Electrike	 Unobtainable	Unobtainable	Unobtainable
#0311	Plusle	electric		['Plus', 'Lightning Rod']	60	50	40	85	75	95								Route 110	Route 110	 Route 110Trade Volbeat in Fortree City	Trade, Event	Trade, Event	 Gift from Duking in Pyrite Town	 Trade	Trophy Garden	Trophy Garden	 Trophy Garden	Routes 1, 2, 3, 5, 7, 8, 11, 14, 15, 16, 17, 18, 29, 33, 36, 37, 38, 39, 46, and 48, National Park (Hoenn Sound)	Routes 1, 2, 3, 5, 7, 8, 11, 14, 15, 16, 17, 18, 29, 33, 36, 37, 38, 39, 46, and 48, National Park (Hoenn Sound)	 Field	 Route 6 (Swarm)	 Trade	 Route 6 (Swarm)	 Trade	 Route 5 (Tall grass or Horde Encounter)	 Route 5 (Horde Encounter)	 Route 110 (Horde Encounter)	 Route 110 (Tall grass or Horde Encounter)	Pokémon Bank	Pokémon Bank	Pokémon Bank	Pokémon Bank	Unobtainable	Unobtainable	Unobtainable	Unobtainable		Trophy Garden	Trophy Garden	 Unobtainable	Unobtainable	Unobtainable
#0312	Minun	electric		['Minus', 'Volt Absorb']	60	40	50	75	85	95								Route 110	Route 110	 Route 110	Trade, Event	Trade, Event	 Trade	 Trade	Trophy Garden	Trophy Garden	 Trophy Garden	Routes 1, 2, 3, 5, 7, 8, 11, 14, 15, 16, 17, 18, 29, 33, 36, 37, 38, 39, 46, and 48, National Park (Hoenn Sound)	Routes 1, 2, 3, 5, 7, 8, 11, 14, 15, 16, 17, 18, 29, 33, 36, 37, 38, 39, 46, and 48, National Park (Hoenn Sound)	 Field	 Trade	 Route 6 (Swarm)	 Trade	 Route 6 (Swarm)	 Route 5 (Horde Encounter)	 Route 5 (Tall grass or Horde Encounter)	 Route 110 (Tall grass or Horde Encounter)	 Route 110 (Horde Encounter)	Pokémon Bank	Pokémon Bank	Pokémon Bank	Pokémon Bank	Unobtainable	Unobtainable	Unobtainable	Unobtainable		Trophy Garden	Trophy Garden	 Unobtainable	Unobtainable	Unobtainable
#0313	Volbeat	bug		['Illuminate', 'Swarm', 'Prankster']	65	73	75	47	85	85								Route 117	Route 117	 Route 117	Trade	Trade	 Trade	 Trade	Route 229	Route 229	 Route 229	National Park (Bug-Catching Contest)ThSafari Zone (Mountain with 10 Plains points)	National Park (Bug-Catching Contest)ThSafari Zone (Mountain with 10 Plains points)	 Mountain	 Route 3 (Swarm)	 Breed Illumise	 Route 3 (Swarm)	 Breed Illumise	Route 7, Berry fields, Friend Safari (Bug)	Route 7, Berry fields, Friend Safari (Bug)	Route 117	Route 117	Pokémon Bank	Pokémon Bank	Pokémon Bank	Pokémon Bank	Unobtainable	Unobtainable	Unobtainable	Unobtainable		Route 229Grand Underground - Grassland Cave, Sunlit Cavern, Dazzling Cave, Stargleam Cavern (After obtaining the National Pokédex)	Route 229Grand Underground - Grassland Cave, Sunlit Cavern, Dazzling Cave, Stargleam Cavern (After obtaining the National Pokédex)	 Unobtainable	TradeVersion 2.0.1+	TradeVersion 2.0.1+
#0314	Illumise	bug		['Oblivious', 'Tinted Lens', 'Prankster']	65	47	75	73	85	85								Route 117	Route 117	 Route 117	Trade	Trade	 Trade	 Trade	Route 229	Route 229	 Route 229	National Park (Bug-Catching Contest)SaSafari Zone (Wasteland with 10 Plains points)	National Park (Bug-Catching Contest)SaSafari Zone (Wasteland with 10 Plains points)	 Mountain	 Breed Volbeat	 Route 3 (Swarm)	 Breed Volbeat	 Route 3 (Swarm)	Route 7, Berry fields, Friend Safari (Bug)	Route 7, Berry fields, Friend Safari (Bug)	Route 117	Route 117	Pokémon Bank	Pokémon Bank	Pokémon Bank	Pokémon Bank	Unobtainable	Unobtainable	Unobtainable	Unobtainable		Route 229Grand Underground - Grassland Cave, Sunlit Cavern, Dazzling Cave, Stargleam Cavern (After obtaining the National Pokédex)	Route 229Grand Underground - Grassland Cave, Sunlit Cavern, Dazzling Cave, Stargleam Cavern (After obtaining the National Pokédex)	 Unobtainable	TradeVersion 2.0.1+	TradeVersion 2.0.1+
#0315	Roselia	grass	poison	['Natural Cure', 'Poison Point', 'Leaf Guard']	50	60	45	100	80	65								Route 117	Route 117	 Trade, Event	Trade, Event	Trade, Event	 Trade	 Prestige Precept Center (Shadow)	 Routes 212, 221, 224, 225, 229, Trophy Garden, Great Marsh	 Routes 212, 221, 224, and 225, Trophy Garden, Great Marsh	 Routes 208, 209, 210, 212, 221, 224, 229, 230, Trophy Garden	Safari Zone (tall grass in Marshland with 49 Forest points)	Safari Zone (tall grass in Marshland with 49 Forest points)	 Field	 Trade	 Evolve Budew	Route 12, Lostlorn Forest, Victory Road	Route 12, Lostlorn Forest, Victory Road	Route 7	Route 7	Route 117	Route 117	Ula'ula Meadow (Island Scan)We	Ula'ula Meadow (Island Scan)We	Trade	Trade	Unobtainable	Unobtainable	Axew's Eye, South Lake Miloch, Giant's Mirror, Dusty Bowl, Rolling FieldsBridge Field, Dappled Grove, East Lake Axewell, Giant's Cap, Giant's Mirror, Hammerlocke Hills, Motostoke Riverbank, North Lake Miloch, Stony Wilderness (Max Raid Battle)	Axew's Eye, South Lake Miloch, Giant's Mirror, Dusty Bowl, Rolling FieldsBridge Field, Dappled Grove, East Lake Axewell, Giant's Cap, Giant's Mirror, Hammerlocke Hills, Motostoke Riverbank, North Lake Miloch, Stony Wilderness (Max Raid Battle)	 Max Lair (Dynamax Adventure)	 Routes 212, 221, 224, 225, and 229, Trophy Garden, Great MarshGrand Underground - Grassland Cave, Swampy Cave, Sunlit Cavern, Bogsunk Cavern	 Routes 212, 221, 224, and 225, Trophy Garden, Great MarshGrand Underground - Grassland Cave, Swampy Cave, Sunlit Cavern, Bogsunk Cavern	 Gapejaw Bog, Cloudpool Ridge, Fabled SpringMassive mass outbreaks - Crimson Mirelands	Unobtainable	Unobtainable
#0316	Gulpin	poison		['Liquid Ooze', 'Sticky Hold', 'Gluttony']	70	43	53	43	53	40								Route 110	Route 110	 Route 110	Trade	Trade	 Trade	 Cipher Lab (Shadow)	Great Marsh (After obtaining the National Pokédex)	Great Marsh (After obtaining the National Pokédex)	 Great Marsh (After obtaining the National Pokédex)	 Trade	 Route 3 (Swarm)	 Forest	Trade or Dream World	Trade or Dream World	Breed Swalot	Breed Swalot	Route 5	Route 5	Route 110	Route 110	Pokémon Bank	Pokémon Bank	Pokémon Bank	Pokémon Bank	Unobtainable	Unobtainable	Unobtainable	Unobtainable		Great Marsh (After obtaining the National Pokédex)	Great Marsh (After obtaining the National Pokédex)	 Unobtainable	 Union CircleTera Raid Battle Search (2★)	 South Province: Area ThreeEast Province: Area OneTera Raid Battles (2★)
#0317	Swalot	poison		['Liquid Ooze', 'Sticky Hold', 'Gluttony']	100	73	83	73	83	55								Evolve Gulpin	Evolve Gulpin	 Evolve Gulpin	Trade	Trade	 Trade	 Evolve Gulpin	Evolve Gulpin	Evolve Gulpin	 Evolve Gulpin	 Trade	 Evolve Gulpin	 Forest	Trade	Trade	Route 9 (Swarm)	Route 9 (Swarm)	Friend Safari (Poison)	Friend Safari (Poison)	Evolve Gulpin	Evolve Gulpin	Pokémon Bank	Pokémon Bank	Pokémon Bank	Pokémon Bank	Unobtainable	Unobtainable	Unobtainable	Unobtainable		Evolve Gulpin	Evolve Gulpin	 Unobtainable	 Union CircleTera Raid Battle Search (4★)	 North Province: Casseroya LakeTera Raid Battles (4★)
#0318	Carvanha	water	dark	['Rough Skin', 'Speed Boost']	45	90	20	65	20	65								Routes 118 and 119 (Good Rod or Super Rod)	Routes 118 and 119 (Good Rod or Super Rod)	 Routes 118 and 119 (Good Rod or Super Rod)	Trade	Trade	 Trade	 Cipher Lab (Shadow)	Great Marsh (Super Rod)	Great Marsh (Super Rod)	 Great Marsh (Super Rod)	Transfer from Pokéwalker	Transfer from Pokéwalker	 Sea	Village Bridge (Fishing)	Village Bridge (Fishing)	Village Bridge (Fishing)	Village Bridge (Fishing)	Route 22 (Good Rod)	Route 22 (Good Rod)	Routes 118 and 119 (Good Rod or Super Rod)	Routes 118 and 119 (Good Rod or Super Rod)	Breed Sharpedo	Breed Sharpedo	Poni Breaker Coast (Fishing)	Poni Breaker Coast (Fishing)	Unobtainable	Unobtainable	TradeVersion 1.2.0+	TradeVersion 1.2.0+	 Training Lowlands (Fishing)	Great Marsh (Super Rod)Grand Underground - Riverbank Cave, Fountainspring Cave, Still-Water Cavern (After obtaining the National Pokédex)	Great Marsh (Super Rod)Grand Underground - Riverbank Cave, Fountainspring Cave, Still-Water Cavern (After obtaining the National Pokédex)	 Unobtainable	Unobtainable	Unobtainable
#0319	Sharpedo	water	dark	['Rough Skin', 'Speed Boost']	70	120	40	95	40	95								Routes 103, 118, 122, 124, 125, 126, 127, 129, 130, 131, 132, 133, and 134, Mossdeep City, Pacifidlog Town (Super Rod)	Routes 103, 118, 122, 124, 125, 126, 127, 129, 130, 131, 132, 133, and 134, Mossdeep City, Pacifidlog Town (Super Rod)	 Routes 103, 118, 122, 124, 125, 126, 127, 129, 130, 131, 132, 133, and 134, Mossdeep City, Pacifidlog Town (Super Rod)	Trade	Trade	 Trade	 Evolve Carvanha	Routes 213 and 222 (Super Rod)	Routes 213 and 222 (Super Rod)	 Evolve Carvanha	Evolve Pokéwalker Carvanha	Evolve Pokéwalker Carvanha	 Sea	Village Bridge (Fishing in rippling water)	Village Bridge (Fishing in rippling water)	Village Bridge (Fishing in rippling water)	Village Bridge (Fishing in rippling water)	Route 22 (Super Rod)	Route 22 (Super Rod)	Routes 118 and 119 (Super Rod)Received from a Team Aqua Grunt at the Battle Resort	Routes 118 and 119 (Super Rod)Received from a Team Aqua Grunt at the Battle Resort	Poni Breaker Coast	Poni Breaker Coast	Poni Breaker Coast (SOS Battle)	Poni Breaker Coast (SOS Battle)	Unobtainable	Unobtainable	TradeVersion 1.2.0+	TradeVersion 1.2.0+	 Workout Sea, Honeycalm Sea, Insular Sea, Stepping-Stone SeaTraining Lowlands (Fishing)Max Lair (Dynamax Adventure)	Routes 213 and 222 (Super Rod)	Routes 213 and 222 (Super Rod)	 Unobtainable	Unobtainable	Unobtainable
#0320	Wailmer	water		['Water Veil', 'Oblivious', 'Pressure']	130	70	35	70	35	60								Routes 103, 105, 106, 107, 108, 109, 110, 115, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, Dewford Town, Ever Grande City, Lilycove City, Mossdeep City, Pacifidlog Town, Seafloor Cavern, Shoal Cave, Slateport City (Fishing)	Routes 103, 105, 106, 107, 108, 109, 110, 115, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, Dewford Town, Ever Grande City, Lilycove City, Mossdeep City, Pacifidlog Town, Seafloor Cavern, Shoal Cave, Slateport City (Fishing)	 Routes 103, 105, 106, 107, 108, 109, 110, 115, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, Dewford Town, Ever Grande City, Lilycove City, Mossdeep City, Pacifidlog Town, Seafloor Cavern, Shoal Cave, Slateport City (Fishing)	Trade	Trade	 Trade	 Trade	Routes 223 and 230 (Super Rod)	Routes 223 and 230 (Super Rod)	 Routes 223 and 230 (Super Rod)	Trade or Transfer from Pokéwalker	Trade or Transfer from Pokéwalker	 Sea	Undella Town, Undella Bay (Surfing in rippling water)	Undella Town, Undella Bay (Surfing in rippling water)	Undella Bay (Surfing in rippling water)	Undella Bay (Surfing in rippling water)	Cyllage City, Ambrette Town, Route 8 (Surfing)	Cyllage City, Ambrette Town, Route 8 (Surfing)	 Routes 103, 105, 106, 107, 108, 109, 110, 115, 122, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, and 134, Dewford Town, Ever Grande City, Lilycove City, Mossdeep City, Pacifidlog Town, Sea Mauville, Seafloor Cavern, Sealed Chamber, Shoal Cave, Slateport City, Team Magma Hideout, Victory Road (Good Rod or Super Rod)	 Routes 103, 105, 106, 107, 108, 109, 110, 115, 122, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, and 134, Dewford Town, Ever Grande City, Lilycove City, Mossdeep City, Pacifidlog Town, Sea Mauville, Seafloor Cavern, Sealed Chamber, Shoal Cave, Slateport City, Team Aqua Hideout, Victory Road (Good Rod or Super Rod)	Poni Breaker Coast, Seafolk Village (Fishing)Poni Wilds (Fishing and Ambush encounter)	Poni Breaker Coast, Seafolk Village (Fishing)Poni Wilds (Fishing and Ambush encounter)	Seafolk Village (Fishing)Poni Breaker Coast (Fishing and Ambush encounter)	Seafolk Village (Fishing)Poni Breaker Coast (Fishing and Ambush encounter)	Unobtainable	Unobtainable	Route 9Motostoke Riverbank (Wanderer)Bridge Field, East Lake Axewell, Lake of Outrage, North Lake Miloch, South Lake Miloch, West Lake Axewell (Max Raid Battle)	Route 9Motostoke Riverbank (Wanderer)Bridge Field, East Lake Axewell, Lake of Outrage, North Lake Miloch, South Lake Miloch, West Lake Axewell (Max Raid Battle)	 Frigid Sea, Honeycalm Island, Honeycalm SeaMax Lair (Dynamax Adventure)	Routes 223 and 230 (Super Rod)	Routes 223 and 230 (Super Rod)	 Unobtainable	Unobtainable	Unobtainable
#0321	Wailord	water		['Water Veil', 'Oblivious', 'Pressure']	170	90	45	90	45	60								Route 129 (Surfing)	Route 129 (Surfing)	 Route 129 (Surfing)	Trade	Trade	 Trade	 Trade	Routes 223 and 230 (Super Rod)	Routes 223 and 230 (Super Rod)	 Routes 223 and 230 (Super Rod)	Evolve Pokéwalker Wailmer	Evolve Pokéwalker Wailmer	 Sea	Undella Bay (Surfing in rippling water)	Undella Bay (Surfing in rippling water)	Undella Bay (Surfing in rippling water)	Undella Bay (Surfing in rippling water)	Evolve Wailmer	Evolve Wailmer	Evolve Wailmer	Evolve Wailmer	Poni Breaker Coast, Seafolk Village (SOS Battle)Poni Wilds (SOS Battle and Ambush encounter)	Poni Breaker Coast, Seafolk Village (SOS Battle)Poni Wilds (SOS Battle and Ambush encounter)	Seafolk Village (SOS Battle)Poni Breaker Coast (SOS Battle and Ambush encounter)	Seafolk Village (SOS Battle)Poni Breaker Coast (SOS Battle and Ambush encounter)	Unobtainable	Unobtainable	Route 9 (fishing)Bridge Field, East Lake Axewell, Lake of Outrage, North Lake Miloch, South Lake Miloch, West Lake Axewell (Max Raid Battle)	Route 9 (fishing)Bridge Field, East Lake Axewell, Lake of Outrage, North Lake Miloch, South Lake Miloch, West Lake Axewell (Max Raid Battle)	 Workout Sea (Wanderer)	Routes 223 and 230 (Super Rod)	Routes 223 and 230 (Super Rod)	 Unobtainable	Unobtainable	Unobtainable
#0322	Numel	fire	ground	['Oblivious', 'Simple', 'Own Tempo']	60	60	40	65	45	35								Route 112, Fiery Path, Jagged Pass	Route 112, Fiery Path, Jagged Pass	 Route 112, Fiery Path, Jagged Pass	Trade	Trade	 Trade	 Cipher Lab (Shadow)	Route 227, Stark Mountain	Route 227, Stark Mountain	 Route 227, Stark Mountain	Ilex Forest, Viridian Forest (Hoenn Sound)	Ilex Forest, Viridian Forest (Hoenn Sound)	 Mountain	Trade	Trade	 Trade	 Reversal Mountain	Breed Camerupt	Breed Camerupt	Route 112, Fiery Path, Jagged Pass	Route 112, Fiery Path, Jagged Pass	Pokémon Bank	Pokémon Bank	Pokémon Bank	Pokémon Bank	Unobtainable	Unobtainable	Unobtainable	Unobtainable		Route 227, Stark MountainGrand Underground - Rocky Cave, Volcanic Cave, Sandsear Cave, Typhlo Cavern, Big Bluff Cavern (After obtaining the National Pokédex)	Route 227, Stark MountainGrand Underground - Rocky Cave, Volcanic Cave, Sandsear Cave, Typhlo Cavern, Big Bluff Cavern (After obtaining the National Pokédex)	 Unobtainable	West Province: Area OneArea ZeroTera Raid Battles (3★)	West Province: Area OneArea ZeroTera Raid Battles (3★)
#0323	Camerupt	fire	ground	['Magma Armor', 'Solid Rock', 'Anger Point']	70	100	70	105	75	40								Evolve Numel	Evolve Numel	 Evolve Numel	Trade	Trade	 Trade	 Evolve Numel	Route 227, Stark Mountain	Route 227, Stark Mountain	 Route 227, Stark Mountain	Evolve Numel	Evolve Numel	 Mountain	Trade	Trade	 Trade	 Reversal Mountain	Friend Safari (Ground)	Friend Safari (Ground)	Received from a Team Magma Grunt at the Battle Resort	Received from a Team Magma Grunt at the Battle Resort	Pokémon Bank	Pokémon Bank	Pokémon Bank	Pokémon Bank	Unobtainable	Unobtainable	Unobtainable	Unobtainable		Route 227, Stark MountainGrand Underground - Rocky Cave, Volcanic Cave, Sandsear Cave, Typhlo Cavern, Big Bluff Cavern (After obtaining the National Pokédex)	Route 227, Stark MountainGrand Underground - Rocky Cave, Volcanic Cave, Sandsear Cave, Typhlo Cavern, Big Bluff Cavern (After obtaining the National Pokédex)	 Unobtainable	North Province: Area TwoArea ZeroTera Raid Battles (5★)	North Province: Area TwoArea ZeroTera Raid Battles (5★)
